Participant; Input; Distance; Width; Practice; Block; Trial; SerieNumber; TargetX; TargetY; Time; FirstClickTime; FirstClickDownX; FirstClickDownY; FirstClickUpX; FirstClickUpY; LastClickDownX; LastClickDownY; LastClickUpX; LastClickUpY; FullError; DownError; UpError; Reset
1; TokenAnse;4900;15; false;1;16;3;0.08333334;0.9114583;2228;2085;0.08151234;0.08265935;0.08210677;0.09272463;0.08151234;0.08265935;0.08210677;0.09272463;0;0;0; False
1; TokenAnse;4900;15; false;1;16;4;0.9166667;0.5677083;2227;2061;0.9218406;0.4253413;0.9165819;0.4368026;0.9218406;0.4253413;0.9165819;0.4368026;0;0;0; False
1; TokenAnse;4900;15; false;1;16;5;0.08333334;0.2239583;2461;2326;0.09152672;0.7590637;0.09618268;0.772867;0.09152672;0.7590637;0.09618268;0.772867;0;0;0; False
1; TokenAnse;4900;15; false;1;16;6;0.9166667;0.08854166;2445;2320;0.9117898;0.9062752;0.9086007;0.9102842;0.9117898;0.9062752;0.9086007;0.9102842;0;0;0; False
1; TokenAnse;4900;15; false;1;16;7;0.08333334;0.2239583;2510;2356;0.08078759;0.7642796;0.08228774;0.768616;0.08078759;0.7642796;0.08228774;0.768616;0;0;0; False
1; TokenAnse;4900;15; false;1;16;8;0.9166667;0.5677083;3707;2528;0.9049594;0.4406564;0.9044781;0.4462047;0.908195;0.4255677;0.9057041;0.4342741;0;0;1; False
1; TokenAnse;4900;45; false;1;17;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;45; false;1;17;2;0.9166667;0.9114583;2194;2031;0.8949832;0.09141152;0.893055;0.08902287;0.8949832;0.09141152;0.893055;0.08902287;0;0;0; False
1; TokenAnse;4900;45; false;1;17;3;0.08333334;0.9114583;2028;1817;0.0861783;0.07298652;0.09228043;0.09233773;0.0861783;0.07298652;0.09228043;0.09233773;0;0;0; False
1; TokenAnse;4900;45; false;1;17;4;0.9166667;0.5677083;1845;1671;0.9315003;0.4523681;0.9314324;0.4622392;0.9315003;0.4523681;0.9314324;0.4622392;0;0;0; False
1; TokenAnse;4900;45; false;1;17;5;0.08333334;0.2239583;1962;1778;0.09057203;0.7614499;0.09418335;0.756888;0.09057203;0.7614499;0.09418335;0.756888;0;0;0; False
1; TokenAnse;4900;45; false;1;17;6;0.9166667;0.08854166;1962;1777;0.9310186;0.8811984;0.9275019;0.8959283;0.9310186;0.8811984;0.9275019;0.8959283;0;0;0; False
1; TokenAnse;4900;45; false;1;17;7;0.08333334;0.2239583;2078;1898;0.07644296;0.7655406;0.07457291;0.7836573;0.07644296;0.7655406;0.07457291;0.7836573;0;0;0; False
1; TokenAnse;4900;45; false;1;17;8;0.9166667;0.5677083;2111;1905;0.9145043;0.4065813;0.9184728;0.3976809;0.9145043;0.4065813;0.9184728;0.3976809;0;0;0; False
1; TokenAnse;4900;30; false;1;18;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;30; false;1;18;2;0.9166667;0.9114583;2194;2050;0.9331908;0.08472325;0.9261766;0.08733065;0.9331908;0.08472325;0.9261766;0.08733065;0;0;0; False
1; TokenAnse;4900;30; false;1;18;3;0.08333334;0.9114583;2178;1978;0.07206369;0.08617056;0.07790971;0.1010944;0.07206369;0.08617056;0.07790971;0.1010944;0;0;0; False
1; TokenAnse;4900;30; false;1;18;4;0.9166667;0.5677083;2494;2342;0.9152689;0.4460698;0.9169115;0.4550952;0.9152689;0.4460698;0.9169115;0.4550952;0;0;0; False
1; TokenAnse;4900;30; false;1;18;5;0.08333334;0.2239583;2095;1931;0.08312695;0.7858404;0.08060991;0.7911449;0.08312695;0.7858404;0.08060991;0.7911449;0;0;0; False
1; TokenAnse;4900;30; false;1;18;6;0.9166667;0.08854166;1945;1778;0.9052828;0.8925915;0.9162439;0.8994063;0.9052828;0.8925915;0.9162439;0.8994063;0;0;0; False
1; TokenAnse;4900;30; false;1;18;7;0.08333334;0.2239583;2294;2119;0.09396706;0.7537202;0.09687965;0.778187;0.09396706;0.7537202;0.09687965;0.778187;0;0;0; False
1; TokenAnse;4900;30; false;1;18;8;0.9166667;0.5677083;1962;1827;0.9193183;0.4125547;0.9134176;0.4313222;0.9193183;0.4125547;0.9134176;0.4313222;0;0;0; False
1; Hand;864;24; true;0;1;1;0.08333334;0.9114583; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
