Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
70 Sugars- granulated,18,99.6,99.8,0.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.0,0.0,2.0,0.0,0.0
71 Turkey- ground- 93% lean- 7% fat- pan-broiled crumbles,14,0.0,0.0,27.1,11.6,31.0,0.0,2.97,0.144,0.0,0.0,1.56,29.1,3.05,0.175,304.0,1.9,0.0
72 Ham- sliced- restaurant,15,2.36,2.2,19.6,3.68,6.0,0.0,1.25,0.017,0.0,0.0,0.86,20.3,0.477,0.016,484.0,0.0,0.0
73 Cheese- American- restaurant,2,6.35,3.76,17.5,31.1,508.0,0.0,17.7,1.01,0.0,54.1,0.24,25.0,0.936,0.143,173.0,0.0,0.0
74 Beans- Dry- Medium Red (0% moisture),4,0.0,0.0,25.5,1.04,193.0,0.0,0.0,0.0,0.0,0.0,6.27,178.0,0.0,0.0,1490.0,0.0,0.0
75 Beans- Dry- Red (0% moisture),4,0.0,0.0,21.3,1.16,148.0,0.0,0.0,0.0,0.0,0.0,5.05,152.0,0.0,0.0,1540.0,0.0,0.0
76 Beans- Dry- Flor de Mayo (0% moisture),4,0.0,0.0,23.3,0.86,180.0,0.0,0.0,0.0,0.0,0.0,4.47,182.0,0.0,0.0,1490.0,0.0,0.0
77 Beans- Dry- Brown (0% moisture),4,0.0,0.0,25.6,1.12,158.0,0.0,0.0,0.0,0.0,0.0,4.7,158.0,0.0,0.0,1580.0,0.0,0.0
78 Beans- Dry- Tan (0% moisture),4,0.0,0.0,26.8,1.14,178.0,0.0,0.0,0.0,0.0,0.0,5.85,198.0,0.0,0.0,1620.0,0.0,0.0
79 Beans- Dry- Light Tan (0% moisture),4,0.0,0.0,24.6,1.28,98.0,0.0,0.0,0.0,0.0,0.0,7.29,178.0,0.0,0.0,1230.0,0.0,0.0
