Session;Condition;Participant;Task;DataSet;IP;Move;MoveToPS;Select;BatchMoveSelection;BatchMoveSurface;BatchMoveFromPS;ExpandPS;EmptySurface;EmptySelection;Relayout;SurfaceCreated;SurfaceDestroyed;ToPSMoves;FromPSMoves;MaxItemInPS;TotItemsInSurfaces;MaxItemsInSurface;TotWalkDistance;TotItemMoveDistance;TotSurfaceMoveDistance;TotCursorMoveDistance;AvgDistanceToWall;InterPlayerDistance;CompletionTime;FirstActionTime;FirstToLastActionTime;InterCursorDistance
S10;Wall;P2;Story;2;180;22;0;65;15;0;0;0;0;0;0;0;0;0;0;0;0;0;8.039084;106.4264;0;350.8589;3.303189;1.714195;433;413.5664;403.9552;1.130992
S10;Wall;P1;Story;2;116;40;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11.38119;62.2422;0;324.7039;3.712453;1.714195;433;413.5664;403.9408;1.130992
S11;AR;P1;Classification;2;116;40;3;30;10;0;1;0;0;0;5;0;0;4;4;4;17;23;69.20092;178.1546;0;1730.052;3.088716;1.938633;1113.62;1091.891;1068.384;1.993986
S11;AR;P2;Classification;2;180;51;0;10;3;0;0;0;0;0;4;3;1;0;0;0;34;23;43.09773;234.4698;178.0426;1852.017;3.259753;1.938633;1113.62;1091.891;1068.34;1.993986
S11;AR;P1;Story;2;116;2;0;10;6;0;0;0;0;0;0;0;0;0;0;0;5;10;74.78476;39.20752;0;1255.638;3.300913;1.541539;669.46;591.8956;582.5371;2.097542
S11;AR;P2;Story;2;180;9;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;10;52.87745;37.81952;59.9697;1516.675;3.681512;1.541539;669.46;591.8956;582.5223;2.097542
S11;Wall;P2;Classification;1;180;26;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17.9507;115.3835;0;507.3412;3.382693;1.744853;541.36;539.6948;516.2333;1.160339
S11;Wall;P1;Classification;1;116;15;0;26;19;0;0;0;0;0;0;0;0;0;0;0;0;0;28.6963;104.4324;0;579.9805;3.292317;1.744853;541.36;539.6948;516.2333;1.160339
S11;Wall;P1;Story;1;116;9;0;30;11;0;0;0;0;0;0;0;0;0;0;0;0;0;52.20127;40.86834;0;448.3517;2.97363;1.777018;411.16;393.7211;382.4914;1.331143
S11;Wall;P2;Story;1;180;29;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;55.0074;55.05061;0;553.5108;2.873255;1.777018;411.16;393.7211;382.4608;1.331143
