;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
1020;Chaitén;Cha1;;;Ant-1;14_05_3-22;Antillanca;-72.20333333;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-40.77416667;Antillanca;Geochemistry_Issue;;72.92439;0.115815;13.121036;1.180296;0.204;0.067;1.162956;3.731082;2.696048;
15072;Unknown;Unknown;;;VILL1D-I-63;LV3B_17;Lago Villarrica;-72.171;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.257;VILL1;;;57.7902;1.205;15.7045;8.651;0.2229;3.5597;7.6553;3.1906;1.0483;0.180431726
13449;Quetrupillán;Quet6;;;CLD198A;Qu13-C-10;;-71.66613202;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.55963799;CLD198;;;66.47515232;1.144949928;15.73505487;4.293562232;0.290240804;1.192989786;3.018504357;4.578798884;3.023508509;0.287238312
2101;Chaitén;Pumalín;;;Pum-2-10;13-04-6-25;;-72.39888889;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-42.92305556;Pumalín-2;;;;;;;;;;;;
9786;Mocho-Choshuenco;MC12;4.0;;7F2;7F2_18;;-72.037678;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.909329;;Position_Issue;;64.6971;0.9786;16.0073;5.2288;0.2072;1.334;3.7127;5.4578;1.9076;0.3681
7843;Mocho-Choshuenco;Neltume;5.7;;040114-2C;6F2_7;;-72.068;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.529;040114-2;EventName_Issue;;66.8086;0.4189;14.9239;2.2205;0.0183;0.3887;1.5913;5.27;2.3147;0.102
1707;Chaitén;Unknown;;;-2,00 LTT;12-01-5-10;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Lake core;-42.90225;Lago Teo;;;;;;;;;;;;
10179;Monte Burney;MB1;;;PROXAVZ2-MB1-TOM-GOLD;PROXAVZ2-MB1-TOM-GOLD_14;Laguna Tom Gold;-69.93333333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-52.15;;;;74.53726248;0.283216726;12.58823303;1.426901611;0.081865812;0.326001359;1.729902575;4.515289369;1.724834691;0.02923779
6569;Mentolat;Unknown;;;CS-2120-D;CS-2120-D;Laguna El Toro;-71.828465;Weller et al., 2015;https://doi.org/10.1007/s00445-015-0991-2;Pyroclastic material;Bulk;Bulk tephra;ICP-MS;Lake core;-45.532004;PC1002 A;;;;;;;;;;;;
16134;Villarrica;Pucón;5.7;5.0;CLD041B;12F2-A_27;;-71.55098343;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.45070711;CLD041;;;57.5322;1.4635;15.0271;10.1941;0.2162;3.4752;7.2436;3.2504;0.8725;0.2522
4427;Lanín;Lan2;;;CLD406A;FXV-II-A_21;;-71.489618;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.430254;CLD406;;;63.9046;0.3845;17.2513;3.7493;0.1233;0.4303;1.871;5.2157;3.6119;0.1088
8031;Mocho-Choshuenco;Hua-hum;4.6;4.0;080114-6C;8F1_11;;-71.968;Rawson et al., 2015;https://doi.org/10.1016/j.jvolgeores.2015.04.003;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.899;080114-6;EventName_Issue;;63.5092;1.1822;16.9434;5.7153;0.1315;1.4281;4.6755;5.3789;1.556;0.4126
13403;Quetrupillán;Unknown;;;CLD197A;CT'-I-C_1;;-71.66827703;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.565191;CLD197;;;53.34973929;1.322588519;16.18420156;9.119057751;0.135060098;5.474435986;8.941978955;3.257449483;0.865385075;0.23210328
10072;Monte Burney;MB1910;;;RR-2B;RR-2B-1;;-72.11;Del Carlo et al., 2018;https://doi.org/10.1016/j.quascirev.2018.07.028;Pyroclastic material;Micro Analytical;Glass shards;EMP, LA-ICP-MS;Outcrop;-52.02;Río Rubens;Geochemistry_Issue;1910;;;;;;;;;;
16608;Villarrica;Unknown;;;VILLAR1C-II-57;LV6E_4;Lago Villarrica;-72.21001;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.28339;VILLAR1;;;57.7387;1.2114;16.7952;8.5438;0.1753;2.9527;7.3307;4.3307;0.8814;0.2865
14442;Unknown;Unknown;;;CALA02-52;LC2D_13;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CALA02;;;56.5965;1.3105;15.5802;9.1937;0.2048;4.0818;7.5133;3.9392;1.106;0.2457
12514;Quetrupillán;Unknown;;;CLD160N;Qu02-F_2;;-71.815766;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.45846599;CLD160;;;53.93796763;1.327098839;15.07737573;9.24916748;0.174905283;5.238253134;9.09307352;3.385738024;0.973786165;0.222934194
